_element_key,_element_name,_element_type,_list_child_element_keys
slcSigVital,slcSigVital,array,"[""slcSigVital_items""]"
slcSigVital_items,items,string,[]
valueCMB,valueCMB,number,[]
valueFrecCardiaca,valueFrecCardiaca,integer,[]
valueFrecRespiratoria,valueFrecRespiratoria,integer,[]
valueGlucosa,valueGlucosa,integer,[]
valueIMC,valueIMC,number,[]
valuePeso,valuePeso,number,[]
valuePntjeZ,valuePntjeZ,number,[]
valueSatOxigeno,valueSatOxigeno,integer,[]
valueTA,valueTA,string,[]
valueTADiastolica,valueTADiastolica,integer,[]
valueTASistolica,valueTASistolica,integer,[]
valueTalla,valueTalla,number,[]
valueTemperatura,valueTemperatura,number,[]
