_element_key,_element_name,_element_type,_list_child_element_keys
custom_delivery_form_id,custom_delivery_form_id,string,[]
date_created,date_created,string,[]
distribution_id,distribution_id,string,[]
distribution_name,distribution_name,string,[]
extra_field_entitlements,extra_field_entitlements,string,[]
for_member,for_member,string,[]
item_description,item_description,string,[]
item_id,item_id,string,[]
item_name,item_name,string,[]
item_ranges,item_ranges,string,[]
status,status,string,[]
status_reason,status_reason,string,[]
type,type,string,[]
