COD_ESTADO,ADM1_PCODE,estado_txt_es,COD_MUNIC,ADM2_PCODE,municipio_txt_es,COD_PARROQ,ADM3_PCODE,parroquias_txt_es,ADM0_ES,ADM0_EN
1,VE01,Distrito Federal,1,VE0101,Libertador,1,VE010101,Altagracia,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,2,VE010102,Antimano,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,3,VE010103,Candelaria,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,4,VE010104,Caricuao,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,5,VE010105,Catedral,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,6,VE010106,Coche,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,7,VE010107,El Junquito,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,8,VE010108,El Paraiso,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,9,VE010109,El Recreo,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,10,VE010110,El Valle,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,11,VE010111,La Pastora,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,12,VE010112,La Vega,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,13,VE010113,Macarao,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,14,VE010114,San Agustin,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,15,VE010115,San Benardino,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,16,VE010116,San Jose,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,17,VE010117,San Juan,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,18,VE010118,San Pedro,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,19,VE010119,Santa Rosalia,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,20,VE010120,Santa Teresa,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,21,VE010121,Sucre,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
1,VE01,Distrito Federal,1,VE0101,Libertador,22,VE010122,23 De Enero,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
2,VE02,Amazonas,1,VE0201,Autonomo Alto Orinoco,0,VE020100,Autonomo Alto Orinoco,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
2,VE02,Amazonas,2,VE0202,Autonomo Atabapo,0,VE020200,Autonomo Atabapo,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
2,VE02,Amazonas,3,VE0203,Autonomo Atures,0,VE020300,Autonomo Atures,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
2,VE02,Amazonas,4,VE0204,Autonomo Autana,0,VE020400,Autonomo Autana,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
2,VE02,Amazonas,5,VE0205,Autonomo Maroa,0,VE020500,Autonomo Maroa,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
2,VE02,Amazonas,6,VE0206,Autonomo Manapiare,0,VE020600,Autonomo Manapiare,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
2,VE02,Amazonas,7,VE0207,Autonomo Rio Negro,0,VE020700,Autonomo Rio Negro,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,1,VE0301,Anaco,1,VE030101,Capital Anaco,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,1,VE0301,Anaco,2,VE030102,San Joaquin,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,2,VE0302,Aragua,1,VE030201,Capital Aragua,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,2,VE0302,Aragua,2,VE030202,Cachipo,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,3,VE0303,Fernando De PeÃ±alv,1,VE030301,Capital Fernando De PeÃ±alv,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,3,VE0303,Fernando De PeÃ±alv,2,VE030302,San Miguel,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,3,VE0303,Fernando De PeÃ±alv,3,VE030303,Sucre,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,4,VE0304,Francisco Del Carm,1,VE030401,Valle De Guanape,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,4,VE0304,Francisco Del Carm,2,VE030402,Santa Barbara,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,5,VE0305,Francisco De Miran,1,VE030501,Capital Francisco De Miran,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,5,VE0305,Francisco De Miran,2,VE030502,Atapirire,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,5,VE0305,Francisco De Miran,3,VE030503,Boca Del Pao,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,5,VE0305,Francisco De Miran,4,VE030504,El Pao,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,6,VE0306,Guanta,1,VE030601,Guanta,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,6,VE0306,Guanta,2,VE030602,Chorreron,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,7,VE0307,Independencia,1,VE030701,Capital Independencia,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,7,VE0307,Independencia,2,VE030702,Mamo,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,8,VE0308,Juan Antonio Sotil,1,VE030801,Capital Puerto La Cruz,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,8,VE0308,Juan Antonio Sotil,2,VE030802,Pozuelos,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,9,VE0309,Juan Manuel Cajiga,1,VE030901,Capital Onoto,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,9,VE0309,Juan Manuel Cajiga,2,VE030902,San Pablo,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,10,VE0310,Jose Gregorio Mona,1,VE031001,Capital Jose Gregorio Mona,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,10,VE0310,Jose Gregorio Mona,2,VE031002,Piar,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,10,VE0310,Jose Gregorio Mona,3,VE031003,San Diego De Cabrutica,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,10,VE0310,Jose Gregorio Mona,4,VE031004,Santa Clara,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,10,VE0310,Jose Gregorio Mona,5,VE031005,Uverito,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,10,VE0310,Jose Gregorio Mona,6,VE031006,Zuata,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,11,VE0311,Libertad,1,VE031101,Capital Libertad,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
3,VE03,Anzoategui,11,VE0311,Libertad,2,VE031102,El Carito,Venezuela (República Bolivariana de),Venezuelan (Bolivarian Republic of)
