_element_key,_element_name,_element_type,_list_child_element_keys
assistedByRC,assistedByRC,string,[]
birthdate,birthdate,date,[]
consent,consent,string,[]
contactCellNumber,contactCellNumber,string,[]
familyMemberCount,familyMemberCount,integer,[]
firstName,firstName,string,[]
gender,gender,string,[]
lastName,lastName,string,[]
memberStatus,memberStatus,string,[]
membersBetween12And18,membersBetween12And18,string,[]
membersBetween18And60,membersBetween18And60,string,[]
membersBetween1And5,membersBetween1And5,string,[]
membersBetween6And11,membersBetween6And11,string,[]
membersOver60,membersOver60,string,[]
membersUnder1,membersUnder1,string,[]
moneyPreference,moneyPreference,string,[]
nationality,nationality,string,[]
neighborhood,neighborhood,string,[]
usedATM,usedATM,string,[]
