_element_key,_element_name,_element_type,_list_child_element_keys
acc_type,acc_type,string,[]
alternate_contact,alternate_contact,string,[]
brc_id,brc_id,string,[]
consent_messaging,consent_messaging,string,[]
district,district,string,[]
family_situ,family_situ,string,[]
hh_vulnerability,hh_vulnerability,integer,[]
hoh,hoh,string,[]
hoh_has_id,hoh_has_id,string,[]
hoh_id_drivers_license,hoh_id_drivers_license,string,[]
hoh_id_nib,hoh_id_nib,string,[]
hoh_id_other,hoh_id_other,string,[]
hoh_id_passport,hoh_id_passport,string,[]
hoh_id_type,hoh_id_type,string,[]
hoh_id_voter,hoh_id_voter,string,[]
hosting_hh,hosting_hh,string,[]
hurricane_related,hurricane_related,string,[]
interviewer_name,interviewer_name,string,[]
introduction,introduction,string,[]
island,island,string,[]
language,language,string,[]
loc_interview,loc_interview,string,[]
loss_income,loss_income,string,[]
missing,missing,string,[]
name_alt,name_alt,string,[]
neighborhood,neighborhood,string,[]
neighborhood_nassau,neighborhood_nassau,string,[]
number_hosting,number_hosting,integer,[]
owner_prior,owner_prior,string,[]
phone_alt,phone_alt,string,[]
phone_num,phone_num,string,[]
proof_residence,proof_residence,string,[]
returning,returning,string,[]
risk_acc,risk_acc,string,[]
special_comment,special_comment,string(4095),[]
total_vuln,total_vuln,integer,[]
vulnerability_hh,vulnerability_hh,array,"[""vulnerability_hh_items""]"
vulnerability_hh_items,items,string,[]
