islands_list,district_value,district_txt
a,black_wood_village,Black Wood Village
a,cedar_harbour,Cedar Harbour
a,coopers_town,Coopers Town
a,crossing_rocks,Crossing Rocks
a,crown_haven,Crown Haven
a,dundas_town,Dundas Town
a,fire_road_village,Fire Road Village
a,fox_town,Fox Town
a,green_turtle_cay,Green Turtle Cay
a,hard_bargain,Hard Bargain
a,hope_town,Hope Town
a,lake_city,Lake City
a,little_harbour,Little Harbour
a,man_o_war_cay,Man o War Cay
a,marsh_harbour,Marsh Harbour
a,murphy_town,Murphy Town
a,new_plymouth,New Plymouth
a,sandy_point,Sandy Point
a,spring_city,Spring City
a,the_bight,The Bight
a,the_mud,The Mud
a,treasure_cay,Treasure Cay
a,wood_cay,Wood Cay
an,andros_town,Andros Town
an,nicholls_town,Nicholl's Town
el,governors_harbour,Governor's Harbour
el,tarpum_bay,Tarpum Bay
el,tarpum_head,Tarpum Head
ex,rolleville,Rolleville
gb,city_of_freeport,City of Freeport
gb,bahama_beach,Bahama Beach
gb,bottle_bay,Bottle Bay
gb,deep_water_cay,Deep Water Cay
gb,freetown,Freetown
gb,gold_rock_creek,Gold Rock Creek
gb,high_rock,High Rock
gb,holmes_rock,Holmes Rock
gb,hunters,Hunters 
gb,macleans_town,Maclean's Town
gb,pelican_point,Pelican Point
gb,pinders_point,Pinders Point
gb,queens_cove,Queen's Cove
gb,sea_grape,Sea Grape
gb,smith_point,Smith Point
gb,sweeting_cay,Sweeting Cay
gb,west_end,West End
np,nassau,Nassau
