district_value,neighborhood_value,neighborhood_txt
freetown,freeport_lucaya,Freeport Lucaya
freetown,arden_forest,Arden forest
freetown,bahamas_terrace,Bahamas terrace
freetown,bahamia_west,Bahamia west
freetown,downtown,Downtown
freetown,east_section,East section
freetown,fairfield,Fairfield
freetown,grassmere,Grassmere 
freetown,greening_glade,Greening glade
freetown,hawksbill,Hawksbill
freetown,heritage,Heritage
freetown,regency,Regency
freetown,ridge_estate,Ridge estate
freetown,royal_bahamian_estaates,Royal Bahamian estates
freetown,seahorse_village,Seahorse village
freetown,sunrise_park,Sunrise park
freetown,williams_town,Williams Town
freetown,windsor_park,Windsor park
freetown,yeoman_wood,Yeoman wood
