_element_key,_element_name,_element_type,_list_child_element_keys
calculo_imc,calculo_imc,number,[]
frecuencia_cardiaca,frecuencia_cardiaca,integer,[]
frecuencia_respiratoria,frecuencia_respiratoria,integer,[]
glicemia,glicemia,integer,[]
muac,muac,number,[]
peso,peso,number,[]
puntaje_Z,puntaje_Z,number,[]
saturacion_oxigeno,saturacion_oxigeno,integer,[]
seleccion_sv,seleccion_sv,array,"[""seleccion_sv_items""]"
seleccion_sv_items,items,string,[]
ta_diastolica,ta_diastolica,integer,[]
ta_sistolica,ta_sistolica,integer,[]
talla,talla,number,[]
temperatura,temperatura,number,[]
