_element_key,_element_name,_element_type,_list_child_element_keys
Income_other_specify,Income_other_specify,string,[]
acc_not_satisf,acc_not_satisf,string,[]
acc_satis,acc_satis,string,[]
acute_illness,acute_illness,string,[]
address,address,string,[]
case_worker,case_worker,string,[]
children_essentials,children_essentials,string,[]
children_needs,children_needs,string,[]
children_not,children_not,string,[]
chronic_illness,chronic_illness,string,[]
cope_displacement,cope_displacement,string(4095),[]
date_next,date_next,date,[]
employed,employed,string,[]
employers_location,employers_location,string,[]
employers_name,employers_name,string,[]
employment_type,employment_type,string,[]
health,health,string,[]
income_other,income_other,string,[]
living,living,string,[]
location,location,string,[]
medical,medical,array,"[""medical_items""]"
medical_items,items,string,[]
mental_illness,mental_illness,string,[]
num_children,num_children,integer,[]
num_children_school,num_children_school,integer,[]
observations,observations,string(4095),[]
referrals,referrals,string(4095),[]
road_map,road_map,string(4095),[]
