_element_key,_element_name,_element_type,_list_child_element_keys
DSS_assistance,DSS_assistance,string,[]
DSS_assistance_amount,DSS_assistance_amount,number,[]
RC_assistance,RC_assistance,string,[]
RC_type_assistance,RC_type_assistance,string(4095),[]
assessment,assessment,string(4095),[]
case_worker,case_worker,string,[]
date_last_visit,date_last_visit,date,[]
emergency,emergency,string,[]
id,id,string,[]
location,location,string,[]
location_of_assistance,location_of_assistance,string,[]
monthly_amount,monthly_amount,string,[]
other_assisstance,other_assisstance,string,[]
past_ocupation,past_ocupation,string,[]
present_ocupation,present_ocupation,string,[]
received_by,received_by,string,[]
recommendation,recommendation,string(4095),[]
referred_by,referred_by,string,[]
social_worker,social_worker,string,[]
visit_date,visit_date,date,[]
